client_id,age,job,marital,education,gender,has_deposits,loan,has_insurance,has_mortgage,last_balance,mean_balance,min_balance,max_balance,currency,age_band,poutcome,invested
249789938,38.0,services,married,secondary,M,yes,no,no,no,2680.467773,2669.532734,2515.500059,2775.615374,CZK,30-39,success,1
1504633819,38.0,management,married,tertiary,M,no,yes,no,yes,5476.241582,5440.862334,5344.385346,5529.866975,CZK,30-39,failure,0
1952195738,34.0,services,married,secondary,M,yes,yes,no,no,2935.906506,2922.958852,2852.824056,3016.314818,CZK,30-39,success,1
989726384,62.0,retired,married,secondary,F,yes,no,no,no,3042.641066,3124.614843,3011.44591,3212.174671,CZK,60-69,success,1
1971878545,36.0,management,single,tertiary,M,yes,no,no,no,526.157661,474.083033,362.809777,571.028715,CZK,30-39,failure,0
1823731216,56.0,admin.,single,secondary,F,no,no,yes,yes,1802.895348,1848.241675,1749.589568,1964.842856,CZK,50-59,failure,0
1129179996,39.0,services,married,secondary,M,yes,no,no,no,329.313279,327.482352,244.538751,426.96266,CZK,30-39,failure,0
178705988,44.0,management,single,tertiary,F,yes,no,no,no,1027.227353,1077.460814,981.361022,1161.976261,CZK,40-49,success,1
1744740913,30.0,student,single,secondary,M,yes,no,no,no,1783.268424,1781.640319,1677.933949,1878.066758,CZK,30-39,success,1
1810967844,74.0,retired,married,tertiary,M,yes,no,no,no,1917.099042,1848.242287,1669.373862,2019.656816,CZK,70+,success,1
309761840,44.0,management,married,tertiary,F,no,no,no,yes,1466.76888,1464.481016,1351.28734,1587.156055,CZK,40-49,failure,0
1595596104,27.0,management,single,secondary,F,no,no,no,yes,179.90697,142.231097,48.598204,251.534786,CZK,18-29,failure,0
880727874,59.0,entrepreneur,married,secondary,M,yes,no,no,no,577.404906,502.801432,368.385017,642.795505,CZK,50-59,success,1
1688158516,38.0,admin.,single,secondary,M,yes,no,no,no,252.992929,263.825804,177.793998,352.020055,CZK,30-39,failure,0
169276910,35.0,services,single,secondary,M,yes,no,no,yes,705.498875,717.35174,649.810487,802.134425,CZK,30-39,failure,0
1534795475,37.0,blue-collar,married,secondary,M,yes,no,no,yes,528.746531,601.321083,509.754722,703.260502,CZK,30-39,failure,0
1266586507,46.0,student,single,unknown,F,yes,no,no,no,1521.091707,1525.974754,1449.141433,1622.269073,CZK,40-49,success,1
1541916254,51.0,technician,single,tertiary,F,no,no,no,yes,11315.216375,11236.719522,11092.252704,11329.872982,CZK,50-59,failure,0
1266320236,26.0,student,single,secondary,F,yes,no,no,no,154.295788,134.530486,19.890363,239.099475,CZK,18-29,success,1
1035562494,56.0,retired,married,primary,M,yes,no,no,no,9374.397439,9394.777464,9224.972961,9584.39014,CZK,50-59,success,1
1419332361,39.0,admin.,married,secondary,F,yes,no,no,yes,2439.296199,2377.850127,2238.916959,2474.843212,CZK,30-39,success,1
1408878248,47.0,technician,married,secondary,F,yes,no,no,yes,1224.851013,1162.640671,1009.714314,1311.63023,CZK,40-49,failure,0
1302678268,31.0,admin.,single,secondary,M,no,yes,no,no,565.780888,515.134983,420.186977,605.969532,CZK,30-39,failure,0
728135403,36.0,technician,married,tertiary,M,yes,no,no,no,250.207321,203.733652,102.872381,291.919003,CZK,30-39,failure,0
1260690560,39.0,technician,single,tertiary,M,yes,no,no,yes,106.836804,44.002351,-39.993339,117.951043,CZK,30-39,success,1
1866331503,59.0,management,married,tertiary,M,yes,no,no,no,5304.570442,5397.921108,5297.23426,5498.835277,CZK,50-59,success,1
308960529,56.0,admin.,married,secondary,M,yes,no,no,no,614.31651,614.691154,503.159093,693.694904,CZK,50-59,success,1
326064497,37.0,services,married,secondary,M,yes,no,no,yes,1487.421118,1536.666309,1434.271768,1606.82617,CZK,30-39,failure,0
357599033,37.0,technician,single,tertiary,F,no,no,no,no,6134.14688,6089.033976,5991.608157,6194.392061,CZK,30-39,success,1
971940066,80.0,retired,married,secondary,M,yes,no,yes,no,833.93188,686.040355,535.593889,833.93188,CZK,70+,success,1
553185441,59.0,admin.,married,secondary,M,yes,no,no,no,3756.751339,3737.698318,3624.870308,3860.256107,CZK,50-59,failure,0
223202289,45.0,technician,married,secondary,M,no,no,no,yes,3394.411288,3383.491401,3277.086367,3525.83232,CZK,40-49,failure,0
1341605079,35.0,management,married,tertiary,M,yes,no,no,no,2112.827611,2148.975318,2009.02098,2270.711037,CZK,30-39,success,1
1679754240,53.0,management,married,tertiary,M,no,no,no,yes,1372.164942,1373.52876,1282.222017,1465.412621,CZK,50-59,failure,0
1709439847,37.0,management,married,tertiary,M,yes,no,no,no,26.981604,-1.63247,-90.239678,97.165914,CZK,30-39,success,1
873225538,30.0,blue-collar,married,primary,F,yes,no,no,yes,146.231199,215.065223,129.793638,366.221917,CZK,30-39,failure,0
507908964,27.0,blue-collar,single,secondary,F,yes,no,no,no,468.591635,542.988974,468.591635,647.841667,CZK,18-29,success,1
941629669,43.0,blue-collar,married,primary,F,no,no,no,yes,327.094914,235.710271,132.672369,368.730745,CZK,40-49,failure,0
