client_id,age,job,marital,education,gender,has_deposits,loan,has_insurance,has_mortgage,last_balance,mean_balance,min_balance,max_balance,currency,age_band,predicted_probability
175712371,84.0,retired,married,secondary,M,yes,no,yes,no,81102.315609,81197.793085,81084.755661,81323.787382,CZK,70+,0.972808948198152
667293473,61.0,self-employed,divorced,tertiary,F,yes,no,no,no,52403.294908,52573.330673,52403.294908,52683.461032,CZK,60-69,0.9224448923276248
1866629429,77.0,retired,married,primary,F,yes,no,no,no,29481.49967,29329.900624,29137.736728,29500.382651,CZK,70+,0.8855239676927787
393510702,74.0,retired,divorced,primary,M,yes,no,no,no,29066.902642,29065.034642,28884.744939,29232.542051,CZK,70+,0.8793006413715062
1109522163,61.0,retired,married,tertiary,M,yes,no,no,no,32611.347593,32689.832041,32591.40652,32882.04248,CZK,60-69,0.8726299577637261
684390477,55.0,entrepreneur,married,secondary,F,yes,no,yes,no,27635.532247,27623.535234,27474.950891,27771.800013,CZK,50-59,0.8511733725562446
1718233087,45.0,management,married,tertiary,F,yes,no,no,no,31495.611412,31467.12125,31379.309131,31564.121964,CZK,40-49,0.8488805956120984
441196465,85.0,retired,married,primary,M,yes,no,yes,no,12033.381863,12086.127271,11911.28274,12248.409728,CZK,70+,0.8359614508877241
125571081,65.0,retired,married,secondary,F,yes,no,yes,no,20632.589459,20804.246663,20632.589459,20923.036869,CZK,60-69,0.8358820372719913
1627910488,32.0,unknown,single,tertiary,F,yes,no,yes,no,34677.295413,34633.671707,34466.278382,34731.713385,CZK,30-39,0.8336176325277617
119858616,63.0,retired,married,secondary,M,yes,no,no,no,17952.338015,18011.648781,17831.034991,18123.086266,CZK,60-69,0.8231959957414615
1637935708,49.0,management,married,tertiary,F,yes,no,no,no,22520.212696,22515.8013,22409.086986,22627.879672,CZK,40-49,0.8198252461625489
884903654,85.0,retired,divorced,primary,F,yes,no,no,no,7636.971714,7616.370602,7475.241461,7806.465541,CZK,70+,0.8188344166433442
1402085184,82.0,retired,married,primary,M,yes,no,no,no,8559.833469,8611.145616,8474.807988,8712.489237,CZK,70+,0.817418867740859
1285603128,87.0,retired,divorced,primary,M,yes,no,yes,no,6685.6604,6744.878661,6593.487232,6958.36064,CZK,70+,0.8170662487043729
957529019,77.0,retired,married,secondary,M,yes,no,yes,no,9684.67753,9581.847079,9473.846551,9734.863157,CZK,70+,0.8148197508969023
1177854254,39.0,blue-collar,single,primary,F,yes,no,no,no,24317.212601,24300.350157,24207.598817,24382.560195,CZK,30-39,0.8134269919349404
170234727,79.0,retired,married,secondary,M,yes,no,yes,no,8441.682553,8301.757873,8186.246768,8470.002927,CZK,70+,0.8133868549966613
601704380,57.0,unknown,married,unknown,M,yes,no,yes,no,19321.71239,19259.561475,19156.185995,19419.956272,CZK,50-59,0.8131189151129354
1094807734,95.0,retired,divorced,primary,M,yes,no,yes,no,2192.994897,2268.603771,2149.441684,2389.931358,CZK,70+,0.8129467596028862
736496687,78.0,retired,married,primary,M,yes,no,yes,no,8605.346858,8561.50334,8414.28338,8687.727287,CZK,70+,0.8114022292040344
1250882667,74.0,retired,married,secondary,F,yes,no,no,no,9614.946108,9476.119433,9313.089431,9622.298267,CZK,70+,0.8095328263887913
674391373,86.0,retired,married,primary,F,yes,no,yes,no,5163.851304,5222.601174,5106.86417,5371.868639,CZK,70+,0.8094356633223084
1459261994,60.0,unknown,married,unknown,F,yes,no,no,no,17302.805532,17305.356702,17214.021232,17439.24558,CZK,60-69,0.8092371992750381
1877067751,31.0,housemaid,single,primary,F,yes,no,no,no,26921.804029,26967.527382,26894.677927,27055.954215,CZK,30-39,0.8071068350908411
486679841,83.0,retired,married,tertiary,F,yes,no,yes,no,4849.953669,4753.652874,4651.339571,4885.53731,CZK,70+,0.8047965690756601
943098965,39.0,admin.,single,tertiary,M,yes,no,no,no,22072.51495,22092.765356,21999.1515,22170.253674,CZK,30-39,0.8042449202134462
1128962236,77.0,retired,married,tertiary,M,yes,no,yes,no,7707.360566,7783.13164,7669.70796,7937.383384,CZK,70+,0.8037527847014466
1158208655,92.0,retired,married,unknown,F,yes,no,no,no,824.336544,768.672545,617.954713,905.377325,CZK,70+,0.8029307226969491
713840842,81.0,retired,married,primary,F,yes,no,yes,no,5125.841472,5205.47682,5080.545708,5329.136955,CZK,70+,0.7999105882148781
1921663862,87.0,retired,married,primary,M,yes,no,yes,no,2219.021649,2203.969073,2079.383268,2299.889992,CZK,70+,0.7997161929439973
261805829,60.0,management,married,tertiary,M,yes,no,no,no,13493.208478,13563.606977,13478.460974,13664.726359,CZK,60-69,0.7996320857384467
565547512,60.0,admin.,divorced,secondary,F,yes,no,yes,no,12069.158468,12040.616479,11948.646438,12124.721407,CZK,60-69,0.7993344107646975
1226229231,90.0,retired,divorced,primary,F,yes,no,yes,no,699.386146,689.340581,538.048946,829.974463,CZK,70+,0.7978967984970482
815155706,37.0,management,single,tertiary,F,yes,yes,no,no,22138.164194,22130.585971,22007.84002,22226.3687,CZK,30-39,0.7962510642416577
639588999,69.0,technician,married,secondary,M,yes,no,no,no,9187.571127,9077.985466,8971.591707,9206.353738,CZK,60-69,0.7934527830103684
1763828751,78.0,retired,married,unknown,F,yes,no,yes,no,4838.638978,4816.868282,4642.261098,5049.443236,CZK,70+,0.7929346454292296
1572872993,90.0,retired,divorced,secondary,M,yes,no,no,no,-119.892245,-11.001454,-141.632721,136.522414,CZK,70+,0.7923962670246177
924772701,77.0,retired,divorced,tertiary,M,yes,no,no,no,4681.274965,4650.349633,4504.421815,4762.321255,CZK,70+,0.7917856227875161
882288737,83.0,retired,single,primary,M,yes,no,yes,no,2044.832364,1971.101971,1785.499397,2139.525884,CZK,70+,0.7910873884071602
1907152369,87.0,retired,married,primary,F,yes,no,no,no,271.410788,255.230068,92.084137,369.46253,CZK,70+,0.7904470929726338
1166226955,86.0,retired,single,secondary,M,yes,no,yes,no,597.366901,605.696586,462.022328,698.587671,CZK,70+,0.7899407159712425
831257396,85.0,retired,married,primary,M,yes,no,no,no,1193.769293,1254.053643,1094.356932,1431.446359,CZK,70+,0.7890459207095164
838603550,55.0,management,married,tertiary,M,yes,no,yes,no,13021.986801,12977.480973,12873.671338,13121.559571,CZK,50-59,0.7888523416004501
260899658,86.0,retired,divorced,primary,F,yes,no,yes,no,80.394584,-9.379746,-186.813623,110.254476,CZK,70+,0.7885401622707353
714088956,56.0,retired,divorced,tertiary,F,yes,no,no,no,13029.288235,13117.670047,13021.80631,13256.998832,CZK,50-59,0.7878146255768598
1053434038,70.0,retired,married,primary,M,yes,no,no,no,6646.779516,6568.275586,6404.234527,6751.818415,CZK,70+,0.7870819573255062
1606461268,75.0,self-employed,married,unknown,F,yes,no,yes,no,4945.552896,4958.363834,4789.166685,5086.744695,CZK,70+,0.7870231345965994
719308905,34.0,unknown,married,tertiary,F,yes,no,no,no,23107.964081,23092.128086,23021.01395,23198.061603,CZK,30-39,0.7866577158035153
1205876871,78.0,retired,married,unknown,M,yes,no,yes,no,3235.006191,3222.581501,3096.078051,3342.720156,CZK,70+,0.786607785820042
1085904960,84.0,retired,divorced,primary,F,yes,no,yes,no,654.112745,638.036366,504.898203,754.710733,CZK,70+,0.7863454572076098
835000489,73.0,retired,married,primary,F,yes,no,yes,no,5493.581438,5542.990218,5314.738065,5701.307291,CZK,70+,0.7858749673383494
583226847,78.0,retired,divorced,secondary,F,yes,no,no,no,3168.218016,3200.596064,3095.454946,3323.766263,CZK,70+,0.7856447431032801
1402608481,79.0,retired,married,secondary,F,yes,no,no,no,2670.177097,2675.887386,2522.402607,2807.596462,CZK,70+,0.7854588667967112
1667482240,71.0,retired,married,secondary,M,yes,no,no,no,5803.659417,5705.81194,5543.972665,5894.086462,CZK,70+,0.7852845286918573
812384993,79.0,retired,married,primary,M,yes,no,no,no,2947.338143,3021.18188,2896.876791,3207.647735,CZK,70+,0.78521945996033
1666552717,85.0,retired,married,primary,M,yes,no,no,no,77.645796,78.847162,-40.115267,237.236331,CZK,70+,0.7848847149464194
1368948239,84.0,entrepreneur,married,secondary,M,yes,no,yes,no,-51.567979,-8.534078,-139.591992,208.117628,CZK,70+,0.7846203905044176
592127331,77.0,retired,divorced,secondary,F,yes,no,no,no,3359.843818,3403.316482,3235.274926,3506.855155,CZK,70+,0.7845016492057834
1899267232,76.0,retired,married,secondary,F,yes,no,yes,no,4025.307145,4117.812948,3999.433128,4276.547992,CZK,70+,0.7844318158326344
588816964,70.0,retired,married,secondary,F,yes,no,no,no,6327.193615,6410.514878,6270.98926,6500.771304,CZK,70+,0.7843206973166782
1436904182,83.0,retired,divorced,primary,F,yes,no,yes,no,1030.734438,1096.975477,964.698768,1268.773594,CZK,70+,0.784314577961486
212031855,71.0,retired,divorced,secondary,F,yes,no,no,no,5578.321703,5564.617001,5434.202825,5679.36422,CZK,70+,0.7838845982834001
1605305026,73.0,retired,divorced,primary,M,yes,no,no,no,4972.905062,5029.751089,4882.585736,5159.331473,CZK,70+,0.783758787126477
1230650948,60.0,technician,single,primary,F,yes,no,no,no,11227.811098,11270.16828,11192.571874,11359.579061,CZK,60-69,0.7836042210751156
800162528,57.0,management,married,tertiary,M,yes,no,no,no,10621.474267,10571.99958,10473.908394,10639.464112,CZK,50-59,0.7823367952907564
1754150044,58.0,management,divorced,secondary,F,yes,no,no,no,10198.17289,10177.068335,10086.533092,10247.919177,CZK,50-59,0.7818698008027379
1348927337,78.0,retired,divorced,primary,F,yes,no,yes,no,2691.738815,2787.662722,2611.775243,2964.947387,CZK,70+,0.7816555880112012
1794013350,76.0,retired,divorced,primary,M,yes,no,no,no,2782.246537,2692.444542,2511.280887,2806.420588,CZK,70+,0.7815068612393702
101831034,75.0,retired,married,tertiary,M,yes,no,no,no,3090.241016,2976.53918,2857.607463,3094.546304,CZK,70+,0.7814003924365399
370996091,82.0,retired,married,secondary,M,yes,no,yes,no,224.700674,126.974847,-147.414997,235.976574,CZK,70+,0.7812636793570991
325725616,56.0,management,divorced,tertiary,F,yes,no,no,no,10660.070172,10540.886647,10414.378915,10661.926517,CZK,50-59,0.7808442825124108
371690729,74.0,retired,divorced,secondary,M,yes,no,no,no,4002.728791,4060.85552,3861.444643,4229.019147,CZK,70+,0.7805176995539491
347072526,59.0,technician,married,secondary,M,yes,no,no,no,10942.518954,10923.892868,10776.613622,11060.41365,CZK,50-59,0.7804118524707946
253501998,83.0,retired,divorced,primary,F,yes,no,no,no,17.868001,40.380636,-86.662505,202.983515,CZK,70+,0.7801764497711827
1684400891,80.0,retired,married,primary,F,yes,no,no,no,1046.410686,978.144164,809.302111,1168.31779,CZK,70+,0.7800151706868914
754138276,82.0,retired,divorced,tertiary,M,yes,no,yes,no,55.800782,23.828528,-117.134087,122.287786,CZK,70+,0.7798556750982549
284646230,80.0,retired,married,primary,M,yes,no,no,no,1399.405353,1456.059192,1323.724083,1670.652517,CZK,70+,0.7796690716618906
225593766,82.0,retired,divorced,primary,M,yes,no,yes,no,18.807733,-20.005777,-190.070793,137.598562,CZK,70+,0.7790245942860731
1607981513,76.0,retired,divorced,primary,F,yes,no,no,no,2928.62625,3060.721573,2915.452131,3199.027511,CZK,70+,0.7787175445528621
1332897077,81.0,retired,married,primary,M,yes,no,yes,no,967.008918,1137.425636,967.008918,1292.510221,CZK,70+,0.77853244348205
1736301874,71.0,retired,divorced,secondary,M,yes,no,no,no,4376.144999,4359.143647,4226.899572,4443.072613,CZK,70+,0.7784545003775699
1765867299,61.0,retired,married,primary,M,yes,no,no,no,8726.827011,8738.162356,8610.994676,8864.513767,CZK,60-69,0.7783693093340409
1962864116,59.0,retired,married,tertiary,F,yes,no,yes,no,9604.716494,9695.966629,9540.270221,9782.834498,CZK,50-59,0.7777898159591671
358390785,53.0,admin.,married,secondary,M,yes,no,no,no,10510.845354,10532.372399,10453.445161,10594.755678,CZK,50-59,0.7776597189417871
466118961,71.0,retired,married,primary,F,yes,no,no,no,4621.621732,4665.816485,4432.44183,4826.027979,CZK,70+,0.7776444834068398
1418414278,81.0,retired,married,primary,F,yes,no,no,no,240.674461,242.125133,120.743722,395.582186,CZK,70+,0.7776082016290735
1789504162,39.0,technician,single,secondary,M,yes,no,no,no,18529.55807,18513.654395,18420.568756,18600.83123,CZK,30-39,0.7772604865991926
1845030290,78.0,retired,married,tertiary,F,yes,no,yes,no,1252.87672,1206.314732,1031.267958,1345.212133,CZK,70+,0.7772002701077827
1361629761,67.0,housemaid,divorced,secondary,M,yes,no,no,no,5268.494952,5270.45155,5197.44911,5360.038311,CZK,60-69,0.7768936712433585
474987680,43.0,blue-collar,married,secondary,F,yes,no,no,no,14710.642744,14636.027237,14570.943204,14790.729751,CZK,40-49,0.776868635841352
1109455133,72.0,retired,married,primary,F,yes,no,no,no,3849.63598,3857.658437,3691.600038,3996.674686,CZK,70+,0.7768309458860531
1716242676,82.0,retired,married,secondary,M,yes,no,yes,no,137.137598,260.450036,131.200841,458.730636,CZK,70+,0.7767865804247647
501158383,78.0,retired,divorced,primary,M,yes,no,no,no,1349.686773,1386.786879,1266.323209,1510.460308,CZK,70+,0.7767132872343828
224467557,81.0,retired,divorced,secondary,M,yes,no,yes,no,335.497495,448.810146,230.45196,566.619089,CZK,70+,0.7766292668968335
1304568718,60.0,retired,married,secondary,F,yes,no,no,no,8357.631844,8309.864551,8167.396859,8394.212966,CZK,60-69,0.77584754993538
733275692,76.0,housemaid,divorced,primary,F,yes,no,yes,no,1401.064878,1409.507855,1291.715965,1529.44573,CZK,70+,0.7758354946028593
1745698405,79.0,retired,married,primary,M,yes,no,yes,no,488.680657,436.360375,299.936304,566.663951,CZK,70+,0.7757604554701493
861423671,62.0,management,married,tertiary,M,yes,no,no,no,7469.527654,7458.20311,7367.849188,7598.187585,CZK,60-69,0.7757466032598648
1689888632,76.0,retired,married,primary,F,yes,no,yes,no,2114.535773,2212.937634,2032.559958,2329.859392,CZK,70+,0.7754003035423921
445025023,77.0,retired,married,unknown,F,yes,no,yes,no,1718.184777,1804.898989,1611.172316,1971.339002,CZK,70+,0.7750681335754446
832463529,80.0,retired,married,primary,M,yes,no,yes,no,138.070147,139.324407,47.765509,311.748106,CZK,70+,0.7748772896974967
1178763771,73.0,retired,divorced,tertiary,M,yes,no,no,no,3143.04676,3174.074939,3002.730006,3327.970674,CZK,70+,0.774873888192244
